of	ɒv
they	ðeɪ
about	əbaʊt
could	kʊd
man	mæn
very	vɛɹi
work	wɜk
call	kɑl
help	hɛlp
every	ɛvəɹi
its	ɪts
hand	hænd
about	əbaʊt
without	wɪðaʊt
begin	bəgɪn
fact	fækt
maybe	meɪbi
issue	ɪsju
though	ðoʊ
both	boʊθ
back	bæk
whether	wɛðər
stay	steɪ
office	ɔfɪs
grow	ɡɹəʊ
whole	hoʊl
hard	hɑɹd
listen	lɪsən
full	fʊl
local	loʊkl
value	vælju
explain	ɪkspleɪn
movie	muvi
difference	dɪfɹəns
effort	ɛfɚt
because	bɪkɒz
situation	sɪtjueɪʃən
share	ʃɛɚ
simply	sɪmpli
open	oʊpən
save	seɪv
guess	ɡɛs
election	ɪlekʃən
certain	sɝtn
available	əveɪləbəl
current	kɝɹənt
list	lɪst
fire	faɪəɹ
author	ɔθɚ
note	nəʊt
top	tɒp
worker	wɝkɚ
race	ɹeɪs
poor	pɔr
enjoy	ɪndʒɔɪ
defense	difɛns
century	sɛntʃəɹi
animal	ænəməl
mile	maɪl
compare	kəmpɛɹ
sister	sɪstə
thus	ðʌs
candidate	kændɪdət
somebody	sʌmbədi
meeting	mitɪŋ
imagine	ɪmædʒɪn
disease	dɪziz
rise	raɪz
method	mɛθəd
shit	ʃɪt
interview	ɪntəvju
environment	ɪnvaɪɹənmɨnt
river	ɹɪvɚ
bit	bɪt
absolutely	æbsəlutli
trouble	tɹʌbəl
seat	sit
necessary	nɛsəsɛɹi
democratic	dɛməkɹætɪk
address	ædɹɛs
management	mænɪdʒmənt
discover	dɪskʌvəɹ
user	juzər
inside	ɪnsaɪd
nor	nɔɹ
mouth	maʊθ
travel	tɹævəl
photograph	fəʊtəɡɹæf
touch	tʌtʃ
suffer	sʌfɚ
heat	hit
judge	dʒʌdʒ
fall	fɔl
element	elɪmənt
just	dʒʌst
interested	ɪntɹəstɪd
hill	hɪl
basic	beɪsɪk
engage	ɪnɡeɪdʒ
smile	smaɪl
apple	æpl
lake	leɪk
gain	ɡeɪn
otherwise	ʌðəɹwaɪz
cry	kɹaɪ
associate	əsoʊʃieɪt
connection	kənɛkʃən
smart	smɑt
ride	ɹaɪd
presence	prɛzəns
crowd	kraʊd
border	bɔrdər
relation	rɪleɪʃən
volume	vɑljum
hire	haɪəɹ
forest	fɑɹɪst
focus	foʊkəs
advice	ædvaɪs
enemy	ɛnəmi
female	fimeɪl
glad	ɡlæd
kick	kɪk
actor	æktə
session	sɛʃən
youth	juθ
extend	ɛkstɛnd
surprise	səpɹaɪz
lift	lɪft
excuse	ɪkskjuz
desire	dɪzaɪə
anywhere	ɛnihweəɹ
grand	ɡɹænd
angry	æŋɡri
neck	nɛk
generate	dʒɛnəɹeɪt
circle	sɜɹkəl
works	wɝks
comfortable	kʌmftɚbəl
teaching	titʃɪŋ
zone	zəʊn
minority	mʌɪnɒɹᵻti
gender	dʒɛndɚ
tooth	tuθ
self	sɛlf
shift	ʃɪft
convention	kənvɛnʃən
scream	skɹim
farmer	fɑɹməɹ
question	kwɛstʃən
era	ɛrə
guide	ɡaɪd
escape	ɪskeɪp
eliminate	ɪlɪməneɪt
pretty	pɹɪti
far	fɑɹ
hand	hænd
fast	fæst
basketball	bæskɪtbɔl
quote	kwəʊt
separate	sɛpəɹət
technical	tɛknɪkəl
soil	sɔɪl
selection	səlɛkʃən
resolution	ɹɛzəluʃən
dude	dud
slow	sloʊ
offense	ɒfɛns
fairly	fɛəɹli
pregnant	pɹɛɡnənt
deficit	dɛfɪsɪt
philosophy	fɪlɒsəfi
prosecutor	prɑsəkjutər
knife	naɪf
publication	pʌblɪkeɪʃən
beneath	bɪniθ
pepper	pɛpɚ
accomplish	əkɒmplɪʃ
engineering	endʒɪnɪərɪŋ
brief	bɹif
shout	ʃaʊt
avenue	ævənju
scholar	skɒlə
illness	ɪlnɛs
awesome	ɔsəm
retire	ɹətaɪəɹ
incredible	ɪnkrɛdəbəl
rarely	ɹɛli
giant	dʒaɪənt
stream	strim
accurate	ækjɚɪt
pay	peɪ
another	ənʌðəɹ
potentially	pətɛnʃəli
slide	slaɪd
rather	ɹɑðə
reputation	ɹɛpjʊteɪʃən
giant	dʒaɪənt
fishing	fɪʃɪŋ
stranger	stɹeɪndʒəɹ
sequence	sikwəns
electronic	ɪlɛktɹɑnɪk
impression	ɪmpɹeʃən
visible	vɪzəbəl
detect	dɪtɛkt
apologize	əpɒlədʒaɪz
cent	sɛnt
manufacturer	mænjufæktʃɚrɚ
roll	ɹoʊl
violate	vaɪəleɪt
idiot	ɪdiət
stadium	steɪdiəm
mix	mɪks
incorporate	ɪnkɔɹpɚeɪt
taste	teɪst
stake	steɪk
developer	dɪvɛləpəɹ
tiger	taɪɡə
administrator	ədmɪnɪstɹeɪtə
publisher	pʌblɪʃɚ
tomato	təmɑtəʊ
contest	kəntɛst
surprise	səpɹaɪz
purchase	pɜtʃəs
adapt	ədæpt
random	rændəm
smell	smɛl
stable	steɪbəl
update	ʌpdeɪt
chemical	kɛmɪkəl
silly	sɪli
crap	kɹæp
imagination	ɪmædʒəneɪʃən
drawing	dɹɔɪŋɡ
guide	ɡaɪd
segment	sɛɡmənt
notice	noʊtɪs
pill	pɪl
dumb	dʌm
furthermore	fɜɹðəɹmɔɹ
aircraft	ɛəkɹɑft
duke	dʒuk
furniture	fɜnɪtʃə
garage	ɡəɹɑʒ
allegation	æləɡeɪʃən
fake	feɪk
grant	ɡɹænt
mall	mæl
courage	kʌɹɪdʒ
till	tɪl
function	fʌŋkʃən
soccer	sɒkə
fabric	fæbrɪk
admire	ædmaɪɚ
virtual	vɝtʃuəl
athletic	æθlɛtɪk
sword	sɔɹd
dose	dəʊs
grave	ɡreɪv
absorb	æbsɔrb
nominee	nɒmɪni
nail	neɪl
hardware	hɑɹdwɛɚ
snake	sneɪk
depict	dɪpɪkt
rescue	reskju
praise	pɹeɪz
van	væn
motive	məʊtɪv
chronic	kɹɒnɪk
driving	draɪvɪŋ
tag	tæɡ
precious	prɛʃəs
agricultural	æɡɹɪkəltʃəɹəl
powder	paʊdəɹ
govern	ɡʌvɚn
butt	bʌt
nonetheless	nʌnðəlɛs
speed	spid
civilian	sɪvɪljən
tune	tʃun
jeans	dʒinz
ranch	ɹæntʃ
advertisement	ædvɚtaɪzmənt
blow	bləʊ
bitter	bɪtər
treasury	tɹɛʒəɹi
frame	freɪm
republican	ɹɪpʌblɪkən
consent	kənsɛnt
apology	əpɒlədʒɪ
inspector	ɪnspɛktɚ
convey	kənveɪ
eating	itɪŋ
custody	kʌstədi
horn	hɔɹn
repair	ɹəpɛɹ
unity	junɪti
electrical	ɪlɛktɹɪkəl
attraction	ətɹækʃən
needle	nidl
magnitude	mæɡnɪtjud
chase	tʃeɪs
credibility	kɹɛdəbɪɫɪti
pursuit	pəsjut
broadcast	brɔdkɑst
repair	ɹəpɛɹ
frozen	fɹəʊzən
theology	θiɒlədʒi
beam	bim
carbohydrate	kɑɹboʊhaɪdɹeɪt
cloth	klɒθ
thief	θif
continent	kɒntɪnənt
accusation	ækjʊzeɪʃən
jaw	dʒɔ
dot	dɒt
sibling	sɪblɪŋ
feed	fid
popularity	pɒpjəlæɹɪti
