of;əv;4.55
i;aɪ;21.0
he;hi;3.81
had;hæd;21.0
you;ju;4.35
not;nɑt;3.89
at;æt;4.04
by;baɪ;5.41
have;hæv;3.72
from;fɹəm;4.44
but;bət;4.6
all;ɔɫ;4.24
she;ʃi;3.57
they;ðeɪ;4.88
were;wɝ;21.0
my;maɪ;2.72
me;mi;3.28
one;wən;3.23
their;ðɛɹ;5.26
so;soʊ;5.15
said;sɛd;21.0
we;wi;5.04
who;hu;3.81
would;wʊd;5.28
no;noʊ;2.72
there;ðɛɹ;5.25
more;mɔɹ;3.78
out;aʊt;3.28
up;əp;2.92
do;du;3.6
any;ɛni;6.0
man;mæn;3.11
could;kʊd;21.0
other;əðɝ;5.33
some;səm;4.85
very;vɛɹi;4.9
time;taɪm;5.16
upon;əpɑn;6.18
about;əbaʊt;5.07
may;meɪ;5.65
only;oʊnɫi;4.95
now;naʊ;5.25
like;ɫaɪk;3.69
little;ɫɪtəɫ;3.95
then;ðɛn;6.74
should;ʃʊd;21.0
made;meɪd;21.0
such;sətʃ;6.42
great;ɡɹeɪt;5.05
must;məst;4.58
two;tu;4.24
these;ðiz;6.42
see;si;3.06
know;noʊ;4.5
over;oʊvɝ;5.57
much;mətʃ;4.58
down;daʊn;4.93
after;æftɝ;6.0
first;fɝst;4.39
men;mɛn;21.0
own;oʊn;5.21
never;nɛvɝ;5.07
old;oʊɫd;3.72
shall;ʃæɫ;8.42
day;deɪ;3.5
those;ðoʊz;5.01
came;keɪm;21.0
come;kəm;3.32
himself;hɪmsɛɫf;5.21
way;weɪ;5.39
work;wɝk;5.86
life;ɫaɪf;5.89
go;ɡoʊ;3.37
make;meɪk;4.68
well;wɛɫ;6.16
through;θɹu;5.82
being;biɪŋ;5.99
long;ɫɔŋ;4.24
say;seɪ;3.42
might;maɪt;21.0
how;haʊ;5.36
too;tu;5.1
even;ivɪn;6.37
many;mɛni;4.6
back;bæk;5.31
here;hiɹ;3.74
think;θɪŋk;4.75
people;pipəɫ;3.52
went;wɛnt;21.0
same;seɪm;5.62
thought;θɔt;5.89
away;əweɪ;5.07
under;əndɝ;5.89
take;teɪk;4.37
found;faʊnd;5.15
hand;hænd;2.74
eyes;aɪz;3.75
still;stɪɫ;5.26
place;pɫeɪs;4.95
also;ɔɫsoʊ;6.64
young;jəŋ;4.61
yet;jɛt;6.96
though;ðoʊ;7.32
things;θɪŋz;4.58
ever;ɛvɝ;6.26
give;ɡɪv;4.28
god;ɡɑd;4.35
off;ɔf;3.83
face;feɪs;3.75
nothing;nəθɪŋ;5.21
right;ɹaɪt;4.35
once;wəns;4.97
another;ənəðɝ;5.05
left;ɫɛft;5.57
part;pɑɹt;5.11
saw;sɔ;5.36
house;haʊs;3.16
world;wɝɫd;5.32
head;hɛd;3.42
three;θɹi;3.69
took;tʊk;21.0
love;ɫəv;5.17
put;pʊt;3.72
night;naɪt;3.61
each;itʃ;4.95
king;kɪŋ;5.42
tell;tɛɫ;4.26
mind;maɪnd;5.37
heart;hɑɹt;5.17
few;fju;6.0
thing;θɪŋ;4.58
whom;hum;8.35
far;fɑɹ;4.88
seemed;simd;21.0
looked;ɫʊkt;21.0
called;kɔɫd;21.0
whole;hoʊɫ;6.89
set;sɛt;6.0
both;boʊθ;4.77
got;ɡɑt;21.0
find;faɪnd;5.78
done;dən;21.0
heard;hɝd;21.0
look;ɫʊk;4.05
name;neɪm;3.68
days;deɪz;3.5
told;toʊɫd;21.0
let;ɫɛt;4.53
lord;ɫɔɹd;5.95
country;kəntɹi;7.05
seen;sin;21.0
better;bɛtɝ;5.02
p;pi;21.0
having;hævɪŋ;21.0
home;hoʊm;3.87
side;saɪd;4.72
something;səmθɪŋ;5.05
moment;moʊmənt;7.95
father;fɑðɝ;4.11
among;əməŋ;7.75
course;kɔɹs;7.34
woman;wʊmən;4.95
words;wɝdz;4.42
mother;məðɝ;2.63
soon;sun;4.83
full;fʊɫ;4.24
end;ɛnd;4.28
gave;ɡeɪv;21.0
room;ɹum;4.22
almost;ɔɫmoʊst;5.47
small;smɔɫ;3.22
thou;ðaʊ;21.0
water;wɔtɝ;2.37
however;haʊɛvɝ;7.14
light;ɫaɪt;4.05
quite;kwaɪt;7.44
brought;bɹɔt;21.0
nor;nɔɹ;8.61
word;wɝd;4.42
whose;huz;21.0
door;dɔɹ;3.05
best;bɛst;4.09
turned;tɝnd;21.0
taken;teɪkən;21.0
morning;mɔɹnɪŋ;4.0
myself;maɪsɛɫf;3.81
felt;fɛɫt;6.1
until;əntɪɫ;5.89
since;sɪns;6.85
power;paʊɝ;7.48
used;juzd;21.0
voice;vɔɪs;4.83
others;əðɝz;21.0
works;wɝks;5.86
less;ɫɛs;21.0
money;məni;5.11
poor;puɹ;6.11
death;dɛθ;5.37
stood;stʊd;21.0
form;fɔɹm;7.58
together;təɡɛðɝ;5.94
till;tɪɫ;6.9
thy;ðaɪ;21.0
large;ɫɑɹdʒ;5.74
matter;mætɝ;7.56
kind;kaɪnd;4.89
certain;sɝtən;8.2
herself;hɝsɛɫf;6.9
year;jɪɹ;5.24
friend;fɹɛnd;3.57
half;hæf;5.45
order;ɔɹdɝ;6.26
round;ɹaʊnd;4.75
true;tɹu;4.64
anything;ɛniθɪŋ;6.12
keep;kip;4.42
sent;sɛnt;21.0
wife;waɪf;5.67
means;minz;4.0
