Aal	'ʔaː.aːl
aalglatt	'ʔaː.al.glat
Aasfresser	'ʔaː.a.sfʀɛ.sɐ
ab	'ʔaːp
ab jetzt	'ʔap .jɛʦt
ab und zu	'ʔap .ʊnt .ʦuː
Abarbeiten	'ʔaː.baɐ.baɪ.tən
abarbeitend	'ʔaː.baɐ.baɪ.tɛnt
Abarbeitungszeit	'ʔaː.baɐ.baɪ.tʊnks.ʦaɪt
Abarten	'ʔaː.baɐ.tən
abartig	'ʔaː.baɐ.tɪç
Abartigkeit	'ʔaː.baɐ.tɪç.kaɪt
Abbau	'ʔa.baʊ
Abbau einer Warteschlange	'ʔa.baʊ  .aɪ.nɛɐ .vaɐ.tə.ʃlaŋ.gə
abbauen	'ʔa.baʊ.ən
abbauend	'ʔa.baʊ.ɛnt
abbeißen	'ʔa.baɪ.sən
abbeißend	'ʔa.baɪ.sɛnt
abbekommend	'ʔa.bə.kɔ.mɛnt
abbekommene	'ʔa.bə.kɔ.mə.nə
abberufbar	'ʔa.bə.ʀuːf.baːɐ
abberufen	'ʔa.bə.ʀuː.fən
abberufend	'ʔa.bə.ʀuː.fɛnt
abberufene	'ʔa.bə.ʀuː.fə.nə
Abberufungen	'ʔa.bə.ʀuː.fʊŋ.gən
abbestellen	'ʔa.bə.ʃtɛ.lən
abbestellend	'ʔa.bə.ʃtɛ.lɛnt
abbestellt	'ʔa.bə.ʃtɛlt
Abbestellungen	'ʔa.bə.ʃtɛ.lʊŋ.gən
abbetteln	'ʔa.bɛ.tɛln
abbettelnd	'ʔa.bɛ.tɛlnt
abbezahlen	'ʔa.bə.ʦaː.lən
abbiegen	'ʔa.biː.gən
abbiegend	'ʔa.biː.gɛnt
Abbild	'ʔa.bɪlt
abbilden	'ʔa.bɪl.dən
abbildend	'ʔa.bɪl.dɛnt
Abbildung	'ʔa.bɪl.dʊŋ
Abbildung	'ʔa.bɪl.dʊnk
Abbildungsfehler	'ʔa.bɪl.dʊnks.feː.lɐ
abbindend	'ʔa.bɪn.dɛnt
abblasend	'ʔa.blaː.zɛnt
abblenden	'ʔa.blɛn.dən
abblenden Scheinwerfer	'ʔa.blən.dɛn .ʃaɪn.vɐ.fɐ
abblendend	'ʔa.blən.dɛnt
Abblendlicht	'ʔa.blən.dlɪçt
Abblendschalter	'ʔa.blɛnt.ʃal.tɐ
abblitzen	'ʔa.bliːt.ʦən
abblitzend	'ʔa.bliːt.ʦɛnt
abblättern	'ʔa.blɛ.tɐn
abblätternd	'ʔa.blɛ.tɛɐnt
abbrausen	'ʔa.bʀaʊ.zən
abbrausend	'ʔa.bʀaʊ.zɛnt
abbrechen	'ʔa.bʀə.çən
Abbrechen ohne Änderungen	'ʔa.bʀə.çɛn  .oː.neː .ɛn.də.ʀʊŋ.gən
